Project Name,Address,No. of Units,Area (sqm),Type of Area,Transacted Price ($),Nett Price($),Unit Price ($ psm),Unit Price ($ psf),Sale Date,Property Type,Tenure,Completion Date,Type of Sale,Purchaser Address Indicator,Postal District,Postal Sector,Postal Code,Planning Region,Planning Area,Low / Mid / High
PARK COLONIAL,6 Woodleigh Lane  #09-19 ,1,127,Strata,2329000,-,18339,1704,5-Jul-18,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,N.A,13,35,357687,Central Region,Toa Payoh,High
PARK COLONIAL,10 Woodleigh Lane  #11-46 ,1,91,Strata,1642000,-,18044,1676,5-Jul-18,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,HDB,13,35,357657,Central Region,Toa Payoh,Mid
PARK COLONIAL,8 Woodleigh Lane  #04-29 ,1,43,Strata,796000,-,18512,1720,5-Jul-18,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,HDB,13,35,357688,Central Region,Toa Payoh,Low
PARK COLONIAL,8 Woodleigh Lane  #09-29 ,1,43,Strata,831000,-,19326,1795,5-Jul-18,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,HDB,13,35,357688,Central Region,Toa Payoh,Low
CITY SQUARE RESIDENCES,10 Kitchener Link  #03-19 ,1,140,Strata,2250000,-,16071,1493,5-Jul-18,Condominium,Freehold,2008,Resale,Private,8,20,207225,Central Region,Kallang,High
PARK COLONIAL,8 Woodleigh Lane  #02-35 ,1,85,Strata,1392000,-,16376,1521,5-Jul-18,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,Private,13,35,357688,Central Region,Toa Payoh,Mid
QUEENS PEAK,1 Dundee Road  #08-06 ,1,58,Strata,966000,-,16655,1547,5-Jul-18,Condominium,99 Yrs From 28/09/2015,Uncompleted,New Sale,HDB,3,14,149456,Central Region,Queenstown,Low
PARC BOTANNIA,10 Fernvale Street  #19-05 ,1,62,Strata,968000,-,15613,1450,5-Jul-18,Condominium,99 Yrs From 28/12/2016,Uncompleted,New Sale,N.A,28,79,797390,North East Region,Sengkang,Low
PARK COLONIAL,4 Woodleigh Lane  #07-13 ,1,63,Strata,1251000,-,19857,1845,5-Jul-18,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,Private,13,35,357686,Central Region,Toa Payoh,Mid
PARK COLONIAL,10 Woodleigh Lane  #05-42 ,1,91,Strata,1574000,-,17297,1607,5-Jul-18,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,Private,13,35,357657,Central Region,Toa Payoh,Mid
THE TAPESTRY,51 Tampines Street 86  #06-10 ,1,56,Strata,867510,-,15491,1439,5-Jul-18,Condominium,99 Yrs From 31/07/2017,Uncompleted,New Sale,HDB,18,52,528539,East Region,Tampines,Low
PARK COLONIAL,2 Woodleigh Lane  #06-04 ,1,63,Strata,1199000,-,19032,1768,5-Jul-18,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,Private,13,35,357685,Central Region,Toa Payoh,Mid
PARK COLONIAL,2 Woodleigh Lane  #11-04 ,1,63,Strata,1223000,-,19413,1803,5-Jul-18,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,HDB,13,35,357685,Central Region,Toa Payoh,Mid
PARK COLONIAL,8 Woodleigh Lane  #13-30 ,1,43,Strata,843000,-,19605,1821,5-Jul-18,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,HDB,13,35,357688,Central Region,Toa Payoh,Low
PARK COLONIAL,8 Woodleigh Lane  #09-40 ,1,43,Strata,878000,-,20419,1897,5-Jul-18,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,HDB,13,35,357688,Central Region,Toa Payoh,Low
PARK COLONIAL,2 Woodleigh Lane  #05-03 ,1,101,Strata,1890000,-,18713,1738,5-Jul-18,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,Private,13,35,357685,Central Region,Toa Payoh,High
PARK COLONIAL,2 Woodleigh Lane  #08-05 ,1,63,Strata,1180000,-,18730,1740,5-Jul-18,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,HDB,13,35,357685,Central Region,Toa Payoh,Mid
PARK COLONIAL,2 Woodleigh Lane  #12-05 ,1,63,Strata,1196000,-,18984,1764,5-Jul-18,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,HDB,13,35,357685,Central Region,Toa Payoh,Mid
PARK COLONIAL,8 Woodleigh Lane  #04-40 ,1,43,Strata,860000,-,20000,1858,5-Jul-18,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,Private,13,35,357688,Central Region,Toa Payoh,Low
PARK COLONIAL,12 Woodleigh Lane  #07-51 ,1,91,Strata,1584000,-,17407,1617,5-Jul-18,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,HDB,13,35,357658,Central Region,Toa Payoh,Mid
PARK COLONIAL,8 Woodleigh Lane  #08-29 ,1,43,Strata,828000,-,19256,1789,5-Jul-18,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,Private,13,35,357688,Central Region,Toa Payoh,Low
PARK COLONIAL,8 Woodleigh Lane  #08-27 ,1,58,Strata,1080000,-,18621,1730,5-Jul-18,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,N.A,13,35,357688,Central Region,Toa Payoh,Mid
PARK COLONIAL,10 Woodleigh Lane  #08-45 ,1,59,Strata,1111000,-,18831,1749,5-Jul-18,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,HDB,13,35,357657,Central Region,Toa Payoh,Mid
THE ALPS RESIDENCES,101 Tampines Street 86  #01-04 ,1,99,Strata,1259000,-,12717,1181,5-Jul-18,Condominium,99 Yrs From 03/08/2015,Uncompleted,New Sale,HDB,18,52,528575,East Region,Tampines,Mid
PARK COLONIAL,4 Woodleigh Lane  #12-13 ,1,63,Strata,1269000,-,20143,1871,5-Jul-18,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,N.A,13,35,357686,Central Region,Toa Payoh,Mid
PARK COLONIAL,10 Woodleigh Lane  #09-48 ,1,56,Strata,1166000,-,20821,1934,5-Jul-18,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,HDB,13,35,357657,Central Region,Toa Payoh,Mid
PARK COLONIAL,8 Woodleigh Lane  #06-25 ,1,47,Strata,944000,-,20085,1866,5-Jul-18,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,N.A,13,35,357688,Central Region,Toa Payoh,Low
PARK COLONIAL,8 Woodleigh Lane  #08-28 ,1,43,Strata,832000,-,19349,1798,5-Jul-18,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,HDB,13,35,357688,Central Region,Toa Payoh,Low
PARK COLONIAL,2 Woodleigh Lane  #14-02 ,1,116,Strata,2217000,-,19112,1776,5-Jul-18,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,Private,13,35,357685,Central Region,Toa Payoh,High
THE TAPESTRY,61 Tampines Street 86  #05-49 ,1,44,Strata,693720,-,15766,1465,5-Jul-18,Condominium,99 Yrs From 31/07/2017,Uncompleted,New Sale,HDB,18,52,528510,East Region,Tampines,Low
PARK COLONIAL,2 Woodleigh Lane  #11-06 ,1,95,Strata,1728000,-,18189,1690,5-Jul-18,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,N.A,13,35,357685,Central Region,Toa Payoh,Mid
PARK COLONIAL,4 Woodleigh Lane  #09-13 ,1,63,Strata,1260000,-,20000,1858,5-Jul-18,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,Private,13,35,357686,Central Region,Toa Payoh,Mid
PARK COLONIAL,10 Woodleigh Lane  #02-44 ,1,59,Strata,1078000,-,18271,1697,5-Jul-18,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,N.A,13,35,357657,Central Region,Toa Payoh,Mid
PARK COLONIAL,8 Woodleigh Lane  #09-35 ,1,85,Strata,1487000,-,17494,1625,5-Jul-18,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,Private,13,35,357688,Central Region,Toa Payoh,Mid
PARK COLONIAL,2 Woodleigh Lane  #15-02 ,1,154,Strata,2353000,-,15279,1419,5-Jul-18,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,Private,13,35,357685,Central Region,Toa Payoh,High
EUPHONY GARDENS,1 Jalan Mata Ayer  #01-04 ,1,106,Strata,760000,-,7170,666,5-Jul-18,Condominium,99 Yrs From 25/02/1998,2001,Resale,HDB,27,75,759075,North Region,Mandai,Low
PARK COLONIAL,12 Woodleigh Lane  #01-51 ,1,91,Strata,1564000,-,17187,1597,5-Jul-18,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,Private,13,35,357658,Central Region,Toa Payoh,Mid
PARK COLONIAL,8 Woodleigh Lane  #11-27 ,1,58,Strata,1092000,-,18828,1749,5-Jul-18,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,HDB,13,35,357688,Central Region,Toa Payoh,Mid
PARK COLONIAL,10 Woodleigh Lane  #05-41 ,1,59,Strata,1088000,-,18441,1713,5-Jul-18,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,HDB,13,35,357657,Central Region,Toa Payoh,Mid
PARK COLONIAL,6 Woodleigh Lane  #05-21 ,1,63,Strata,1345000,-,21349,1983,5-Jul-18,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,N.A,13,35,357687,Central Region,Toa Payoh,Mid
PARK COLONIAL,8 Woodleigh Lane  #05-26 ,1,58,Strata,1098000,-,18931,1759,5-Jul-18,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,HDB,13,35,357688,Central Region,Toa Payoh,Mid
PARK COLONIAL,6 Woodleigh Lane  #06-18 ,1,53,Strata,1004000,-,18943,1760,5-Jul-18,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,N.A,13,35,357687,Central Region,Toa Payoh,Mid
PARK COLONIAL,10 Woodleigh Lane  #04-41 ,1,59,Strata,1084000,-,18373,1707,5-Jul-18,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,Private,13,35,357657,Central Region,Toa Payoh,Mid
PALM GARDENS,2C Hong San Walk  #03-01 ,1,112,Strata,835000,-,7455,693,5-Jul-18,Condominium,99 Yrs From 12/08/1996,2000,Resale,HDB,23,68,689049,West Region,Choa Chu Kang,Low
THE TAPESTRY,51 Tampines Street 86  #02-02 ,1,44,Strata,670760,-,15245,1416,5-Jul-18,Condominium,99 Yrs From 31/07/2017,Uncompleted,New Sale,HDB,18,52,528539,East Region,Tampines,Low
PARK COLONIAL,6 Woodleigh Lane  #07-17 ,1,43,Strata,839000,-,19512,1813,5-Jul-18,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,N.A,13,35,357687,Central Region,Toa Payoh,Low
PARK COLONIAL,10 Woodleigh Lane  #01-48 ,1,56,Strata,1138000,-,20321,1888,5-Jul-18,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,HDB,13,35,357657,Central Region,Toa Payoh,Mid
PARK COLONIAL,8 Woodleigh Lane  #08-34 ,1,43,Strata,821000,-,19093,1774,5-Jul-18,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,HDB,13,35,357688,Central Region,Toa Payoh,Low
PARK COLONIAL,8 Woodleigh Lane  #12-25 ,1,47,Strata,965000,-,20532,1907,5-Jul-18,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,HDB,13,35,357688,Central Region,Toa Payoh,Low
PARK COLONIAL,10 Woodleigh Lane  #10-45 ,1,59,Strata,1119000,-,18966,1762,5-Jul-18,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,N.A,13,35,357657,Central Region,Toa Payoh,Mid
PARK COLONIAL,10 Woodleigh Lane  #13-45 ,1,59,Strata,1131000,-,19169,1781,5-Jul-18,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,Private,13,35,357657,Central Region,Toa Payoh,Mid
PARK COLONIAL,4 Woodleigh Lane  #07-09 ,1,56,Strata,1067000,-,19054,1770,5-Jul-18,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,Private,13,35,357686,Central Region,Toa Payoh,Mid
PARK COLONIAL,8 Woodleigh Lane  #07-29 ,1,43,Strata,822000,-,19116,1776,5-Jul-18,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,N.A,13,35,357688,Central Region,Toa Payoh,Low
PARK COLONIAL,10 Woodleigh Lane  #04-48 ,1,56,Strata,1142000,-,20393,1895,5-Jul-18,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,HDB,13,35,357657,Central Region,Toa Payoh,Mid
PARK COLONIAL,10 Woodleigh Lane  #11-48 ,1,56,Strata,1174000,-,20964,1948,5-Jul-18,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,HDB,13,35,357657,Central Region,Toa Payoh,Mid
PARK COLONIAL,12 Woodleigh Lane  #13-56 ,1,59,Strata,1293000,-,21915,2036,5-Jul-18,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,Private,13,35,357658,Central Region,Toa Payoh,Mid
PARK COLONIAL,8 Woodleigh Lane  #08-40 ,1,43,Strata,875000,-,20349,1890,5-Jul-18,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,N.A,13,35,357688,Central Region,Toa Payoh,Low
PARK COLONIAL,12 Woodleigh Lane  #05-56 ,1,59,Strata,1257000,-,21305,1979,5-Jul-18,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,N.A,13,35,357658,Central Region,Toa Payoh,Mid
PARK COLONIAL,10 Woodleigh Lane  #09-42 ,1,91,Strata,1599000,-,17571,1632,5-Jul-18,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,HDB,13,35,357657,Central Region,Toa Payoh,Mid
PARK COLONIAL,2 Woodleigh Lane  #11-05 ,1,63,Strata,1192000,-,18921,1758,5-Jul-18,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,HDB,13,35,357685,Central Region,Toa Payoh,Mid
PALM ISLES,38 Flora Drive  #01-52 ,1,52,Strata,568000,-,10923,1015,5-Jul-18,Condominium,99 Yrs From 14/09/2011,2015,Resale,HDB,17,50,506895,East Region,Pasir Ris,Low
PARK COLONIAL,4 Woodleigh Lane  #05-11 ,1,91,Strata,1807000,-,19857,1845,5-Jul-18,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,N.A,13,35,357686,Central Region,Toa Payoh,High
PARK COLONIAL,2 Woodleigh Lane  #07-05 ,1,63,Strata,1172000,-,18603,1728,5-Jul-18,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,Private,13,35,357685,Central Region,Toa Payoh,Mid
PARK COLONIAL,4 Woodleigh Lane  #08-09 ,1,56,Strata,1075000,-,19196,1783,5-Jul-18,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,Private,13,35,357686,Central Region,Toa Payoh,Mid
PARK COLONIAL,10 Woodleigh Lane  #08-41 ,1,59,Strata,1104000,-,18712,1738,5-Jul-18,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,HDB,13,35,357657,Central Region,Toa Payoh,Mid
PARK COLONIAL,8 Woodleigh Lane  #04-32 ,1,43,Strata,796000,-,18512,1720,5-Jul-18,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,N.A,13,35,357688,Central Region,Toa Payoh,Low
PARK COLONIAL,8 Woodleigh Lane  #03-28 ,1,43,Strata,798000,-,18558,1724,5-Jul-18,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,HDB,13,35,357688,Central Region,Toa Payoh,Low
PARK COLONIAL,8 Woodleigh Lane  #07-27 ,1,58,Strata,1072000,-,18483,1717,5-Jul-18,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,Private,13,35,357688,Central Region,Toa Payoh,Mid
MARTIN MODERN,10 Martin Place  #23-08 ,1,130,Strata,4023250,-,30948,2875,5-Jul-18,Condominium,99 Yrs From 28/09/2016,Uncompleted,New Sale,Private,9,23,237963,Central Region,River Valley,High
PARK COLONIAL,8 Woodleigh Lane  #12-40 ,1,43,Strata,887000,-,20628,1916,5-Jul-18,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,N.A,13,35,357688,Central Region,Toa Payoh,Low
A TREASURE TROVE,54 Punggol Walk  #03-12 ,1,112,Strata,1220000,-,10893,1012,5-Jul-18,Condominium,99 Yrs From 09/03/2011,2015,Resale,HDB,19,82,828832,North East Region,Punggol,Mid
PARK COLONIAL,4 Woodleigh Lane  #09-09 ,1,56,Strata,1083000,-,19339,1797,5-Jul-18,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,HDB,13,35,357686,Central Region,Toa Payoh,Mid
PARK COLONIAL,4 Woodleigh Lane  #06-11 ,1,91,Strata,1812000,-,19912,1850,5-Jul-18,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,Private,13,35,357686,Central Region,Toa Payoh,High
PARK COLONIAL,4 Woodleigh Lane  #08-12 ,1,63,Strata,1337000,-,21222,1972,5-Jul-18,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,Private,13,35,357686,Central Region,Toa Payoh,Mid
PARK COLONIAL,4 Woodleigh Lane  #12-12 ,1,63,Strata,1357000,-,21540,2001,5-Jul-18,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,Private,13,35,357686,Central Region,Toa Payoh,Mid
PARK COLONIAL,6 Woodleigh Lane  #11-17 ,1,43,Strata,854000,-,19860,1845,5-Jul-18,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,Private,13,35,357687,Central Region,Toa Payoh,Low
PARK COLONIAL,6 Woodleigh Lane  #14-18 ,1,53,Strata,1040000,-,19623,1823,5-Jul-18,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,HDB,13,35,357687,Central Region,Toa Payoh,Mid
PARK COLONIAL,8 Woodleigh Lane  #12-28 ,1,43,Strata,845000,-,19651,1826,5-Jul-18,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,HDB,13,35,357688,Central Region,Toa Payoh,Low
PARK COLONIAL,4 Woodleigh Lane  #10-13 ,1,63,Strata,1263000,-,20048,1862,5-Jul-18,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,Private,13,35,357686,Central Region,Toa Payoh,Mid
PARK COLONIAL,2 Woodleigh Lane  #07-03 ,1,101,Strata,1900000,-,18812,1748,5-Jul-18,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,HDB,13,35,357685,Central Region,Toa Payoh,High
PARK COLONIAL,2 Woodleigh Lane  #12-03 ,1,101,Strata,1930000,-,19109,1775,5-Jul-18,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,Private,13,35,357685,Central Region,Toa Payoh,High
PARK COLONIAL,2 Woodleigh Lane  #05-02 ,1,116,Strata,2157000,-,18595,1728,5-Jul-18,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,Private,13,35,357685,Central Region,Toa Payoh,High
PARK COLONIAL,8 Woodleigh Lane  #05-34 ,1,43,Strata,795000,-,18488,1718,5-Jul-18,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,N.A,13,35,357688,Central Region,Toa Payoh,Low
PARK COLONIAL,2 Woodleigh Lane  #06-08 ,1,69,Strata,1401000,-,20304,1886,5-Jul-18,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,HDB,13,35,357685,Central Region,Toa Payoh,Mid
PARK COLONIAL,6 Woodleigh Lane  #11-22 ,1,110,Strata,2156000,-,19600,1821,5-Jul-18,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,HDB,13,35,357687,Central Region,Toa Payoh,High
PARK COLONIAL,6 Woodleigh Lane  #06-19 ,1,127,Strata,2305000,-,18150,1686,5-Jul-18,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,HDB,13,35,357687,Central Region,Toa Payoh,High
PARK COLONIAL,2 Woodleigh Lane  #05-05 ,1,63,Strata,1166000,-,18508,1719,5-Jul-18,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,HDB,13,35,357685,Central Region,Toa Payoh,Mid
PARK COLONIAL,8 Woodleigh Lane  #10-40 ,1,43,Strata,881000,-,20488,1903,5-Jul-18,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,N.A,13,35,357688,Central Region,Toa Payoh,Low
PARK COLONIAL,2 Woodleigh Lane  #04-05 ,1,63,Strata,1160000,-,18413,1711,5-Jul-18,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,N.A,13,35,357685,Central Region,Toa Payoh,Mid
PARK COLONIAL,8 Woodleigh Lane  #03-34 ,1,43,Strata,789000,-,18349,1705,5-Jul-18,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,Private,13,35,357688,Central Region,Toa Payoh,Low
PARK COLONIAL,2 Woodleigh Lane  #10-05 ,1,63,Strata,1188000,-,18857,1752,5-Jul-18,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,N.A,13,35,357685,Central Region,Toa Payoh,Mid
PARK COLONIAL,8 Woodleigh Lane  #02-30 ,1,43,Strata,790000,-,18372,1707,5-Jul-18,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,N.A,13,35,357688,Central Region,Toa Payoh,Low
PARK COLONIAL,8 Woodleigh Lane  #07-39 ,1,62,Strata,1248000,-,20129,1870,5-Jul-18,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,Private,13,35,357688,Central Region,Toa Payoh,Mid
PARK COLONIAL,8 Woodleigh Lane  #07-37 ,1,43,Strata,943000,-,21930,2037,5-Jul-18,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,Private,13,35,357688,Central Region,Toa Payoh,Low
PARK COLONIAL,8 Woodleigh Lane  #14-37 ,1,62,Strata,1057000,-,17048,1584,5-Jul-18,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,Private,13,35,357688,Central Region,Toa Payoh,Mid
TERRASSE,35 Terrasse Lane  #01-79 ,1,75,Strata,925000,-,12333,1146,5-Jul-18,Condominium,99 Yrs From 23/08/2010,2014,Resale,HDB,19,54,544781,North East Region,Hougang,Low
THE TAPESTRY,59 Tampines Street 86  #15-31 ,1,125,Strata,1512800,-,12102,1124,5-Jul-18,Condominium,99 Yrs From 31/07/2017,Uncompleted,New Sale,N.A,18,52,528509,East Region,Tampines,Mid
PARK COLONIAL,6 Woodleigh Lane  #07-18 ,1,53,Strata,1008000,-,19019,1767,5-Jul-18,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,HDB,13,35,357687,Central Region,Toa Payoh,Mid
PARK COLONIAL,4 Woodleigh Lane  #11-12 ,1,63,Strata,1349000,-,21413,1989,5-Jul-18,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,HDB,13,35,357686,Central Region,Toa Payoh,Mid
D'NEST,127 Pasir Ris Grove  #11-02 ,1,70,Strata,850000,-,12143,1128,5-Jul-18,Condominium,99 Yrs From 20/10/2010,2017,Resale,HDB,18,51,518178,East Region,Pasir Ris,Low
WATERFRONT GOLD,758 Bedok Reservoir Road  #13-22 ,1,128,Strata,1680000,-,13125,1219,5-Jul-18,Condominium,99 Yrs From 26/11/2009,2014,Resale,Private,16,47,479260,East Region,Bedok,Mid
PARK COLONIAL,6 Woodleigh Lane  #08-23 ,1,87,Strata,1546000,-,17770,1651,5-Jul-18,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,HDB,13,35,357687,Central Region,Toa Payoh,Mid
PARK COLONIAL,6 Woodleigh Lane  #03-23 ,1,87,Strata,1516000,-,17425,1619,5-Jul-18,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,Private,13,35,357687,Central Region,Toa Payoh,Mid
PARK COLONIAL,8 Woodleigh Lane  #01-35 ,1,85,Strata,1397000,-,16435,1527,5-Jul-18,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,HDB,13,35,357688,Central Region,Toa Payoh,Mid
PARK COLONIAL,12 Woodleigh Lane  #07-56 ,1,59,Strata,1265000,-,21441,1992,5-Jul-18,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,N.A,13,35,357658,Central Region,Toa Payoh,Mid
PARK COLONIAL,10 Woodleigh Lane  #06-42 ,1,91,Strata,1579000,-,17352,1612,5-Jul-18,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,Private,13,35,357657,Central Region,Toa Payoh,Mid
THE CASCADIA,933 Bukit Timah Road  #05-29 ,1,110,Strata,2050000,-,18636,1731,5-Jul-18,Condominium,Freehold,2010,Resale,Private,21,58,589644,Central Region,Bukit Timah,High
PARK COLONIAL,12 Woodleigh Lane  #06-56 ,1,59,Strata,1261000,-,21373,1986,5-Jul-18,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,Private,13,35,357658,Central Region,Toa Payoh,Mid
PARK COLONIAL,8 Woodleigh Lane  #08-30 ,1,43,Strata,828000,-,19256,1789,5-Jul-18,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,HDB,13,35,357688,Central Region,Toa Payoh,Low
PARK COLONIAL,8 Woodleigh Lane  #03-30 ,1,43,Strata,793000,-,18442,1713,5-Jul-18,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,HDB,13,35,357688,Central Region,Toa Payoh,Low
PARK COLONIAL,12 Woodleigh Lane  #12-53 ,1,59,Strata,1127000,-,19102,1775,5-Jul-18,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,N.A,13,35,357658,Central Region,Toa Payoh,Mid
THE TAPESTRY,55 Tampines Street 86  #08-24 ,1,138,Strata,1752000,-,12696,1179,5-Jul-18,Condominium,99 Yrs From 31/07/2017,Uncompleted,New Sale,HDB,18,52,528541,East Region,Tampines,Mid
PARK COLONIAL,6 Woodleigh Lane  #08-21 ,1,63,Strata,1361000,-,21603,2007,5-Jul-18,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,N.A,13,35,357687,Central Region,Toa Payoh,Mid
PARK COLONIAL,2 Woodleigh Lane  #14-05 ,1,63,Strata,1204000,-,19111,1775,5-Jul-18,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,HDB,13,35,357685,Central Region,Toa Payoh,Mid
THE ALPS RESIDENCES,115 Tampines Street 86  #01-45 ,1,87,Strata,948000,-,10897,1012,5-Jul-18,Condominium,99 Yrs From 03/08/2015,Uncompleted,New Sale,HDB,18,52,528537,East Region,Tampines,Low
PARK COLONIAL,8 Woodleigh Lane  #06-30 ,1,43,Strata,819000,-,19047,1769,5-Jul-18,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,N.A,13,35,357688,Central Region,Toa Payoh,Low
PARK COLONIAL,4 Woodleigh Lane  #01-16 ,1,56,Strata,1051000,-,18768,1744,5-Jul-18,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,HDB,13,35,357686,Central Region,Toa Payoh,Mid
PARK COLONIAL,6 Woodleigh Lane  #12-20 ,1,63,Strata,1353000,-,21476,1995,5-Jul-18,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,N.A,13,35,357687,Central Region,Toa Payoh,Mid
PARK COLONIAL,8 Woodleigh Lane  #07-32 ,1,43,Strata,822000,-,19116,1776,5-Jul-18,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,N.A,13,35,357688,Central Region,Toa Payoh,Low
MARINE BLUE,89 Marine Parade Road  #12-01 ,1,118,Strata,1796000,-,15220,1414,5-Jul-18,Condominium,Freehold,2016,Resale,Private,15,44,449313,Central Region,Marine Parade,High
